"","Date","CPI","Output","Key_Rate","Interbank_Rate","USD","Urals"
"99",2019-03-01,100.32,19909.1263689575,7.75,7.591,65.2482,71.65
"100",2019-04-01,100.29,21083.4763787641,7.75,7.67363636363636,64.5596666666667,71.28
"101",2019-05-01,100.34,21993.4254666146,7.75,7.64833333333333,64.8820225806452,62.37
"102",2019-06-01,100.04,22638.973632509,7.5,7.52578947368421,64.0760566666667,63.4
"103",2019-07-01,100.2,23020.1208764474,7.25,7.24086956521739,63.2064133333333,59.24
"104",2019-08-01,99.76,23696.8629715461,7.25,7.08409090909091,65.8051161290323,61.06
"105",2019-09-01,99.84,24669.1999178054,7,6.82761904761905,64.9027933333333,58.45
"106",2019-10-01,100.13,25937.1317152251,6.5,6.76739130434783,64.2579258064516,63.34
"107",2019-11-01,100.28,25925.357024197,6.5,6.4465,63.8124466666667,64.47
"108",2019-12-01,100.36,24633.8758447212,6.25,6.15714285714286,62.8454677419355,61.67
"109",2020-01-01,100.4,22062.6881767977,6.25,6.03882352941176,61.8709,54.24
"110",2020-02-01,100.33,20394.911654441,6,5.92368421052632,64.186175862069,29.17
"111",2020-03-01,100.55,19630.5462776511,6,5.75368421052632,74.5305503225807,18.22
"112",2020-04-01,100.83,19769.5920464281,5.5,5.91789473684211,74.8939,31.03
"113",2020-05-01,100.27,20187.5272327428,5.5,5.37882352941176,72.7021612903226,41.93
"114",2020-06-01,100.22,20884.3518365952,4.5,4.9245,69.3191666666667,43.91
"115",2020-07-01,100.35,21860.0658579853,4.25,4.17590909090909,71.442835483871,44.51
"116",2020-08-01,99.96,22972.6318963194,4.25,4.11238095238095,73.834535483871,40.91
"117",2020-09-01,99.93,24222.0499515977,4.25,4.16636363636364,75.98904,40.53
"118",2020-10-01,100.43,25608.32002382,4.25,4.195,77.5203064516129,43.32
"119",2020-11-01,100.71,25620.1217008932,4.25,4.0705,76.80546,49.37
"120",2020-12-01,100.83,24257.4549828171,4.25,4.12954545454545,73.9171967741935,54.89
"121",2021-01-01,100.67,21520.3198695918,4.25,4.28466666666667,74.4061903225806,61.47
"122",2021-02-01,100.78,20164.6473843964,4.25,3.99947368421053,74.3037464285714,64.29
"123",2021-03-01,100.66,20190.437527231,4.5,4.2,74.4890741935484,63.02
"124",2021-04-01,100.58,21597.6902980955,5,4.47909090909091,76.10279,67.26
"125",2021-05-01,100.74,22554.1477006773,5,4.75736842105263,73.9339838709677,71.57
"126",2021-06-01,100.69,23059.8097349763,5.5,5.09285714285714,72.5443433333333,73.09
"127",2021-07-01,100.31,23114.6764009926,6.5,5.76590909090909,73.8791258064516,68.14
"128",2021-08-01,100.17,23744.3538792491,6.5,6.30681818181818,73.518764516129,65.96
"129",2021-09-01,100.6,24948.8421697457,6.75,6.55636363636364,72.8846933333333,81.71
"130",2021-10-01,101.11,26728.1412724825,7.5,6.80857142857143,71.3452866666667,79.98
"131",2021-11-01,100.96,26946.6255168605,7.5,7.3075,72.9422566666667,72.88
"132",2021-12-01,100.82,25604.2949028796,8.5,7.57761904761905,73.8249064516129,86.23
"133",2022-01-01,100.99,22701.1494305398,8.5,8.2625,76.5627451612903,94.94
"134",2022-02-01,101.17,20967.4150497676,20,9.51473684210526,78.7513107142857,92.59
"135",2022-03-01,107.61,20403.0917605629,20,20.0327272727273,108.970435714286,72.55
"136",2022-04-01,101.56,21008.1795629256,17,17.1266666666667,79.4834,81.18
"137",2022-05-01,100.12,21513.038919974,11,13.2977777777778,64.390504,91.61
"138",2022-06-01,99.65,21917.6698317081,9.5,9.63285714285714,56.5642307692308,85.32
"139",2022-07-01,99.61,22222.0722981277,8,8.90380952380952,59.1258,77.34
"140",2022-08-01,99.48,22924.4474058316,8,7.94695652173913,60.0961296296296,68.61
"141",2022-09-01,100.05,24024.7951548199,7.5,7.69136363636364,59.33235,71.91
"142",2022-10-01,100.18,25523.1155450924,7.5,7.71714285714286,61.2757111111111,66.69
"143",2022-11-01,100.37,26521.9958052741,7.5,7.33333333333333,60.4140740740741,50.15
"144",2022-12-01,100.78,27021.4359353649,7.5,7.31904761904762,65.998962962963,49.02
