"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5103","5103","Тюменская область",2004-07-01,"5103",3282807.48705846,108.050454390446,68308.6681371541,6720.86587145966,109.106268034627,396582.608992337,0.00204728690263992,17258.9997727433,0.521249999999995,16514.0400000037,16292.0500000042,2.28833333333331,609,14.12,1127,15.4666666666667,28840.6666666667,69.56,"High usage",1395.10666124241
"5104","5104","Тюменская область",2004-10-01,"5104",3284664.12431575,114.051008075653,81868.8081335277,6805.53345501741,109.720401366002,428744.849314306,0.00207187983775183,17741.8300373346,6.17500000000001,16687.3500000038,16871.1300000043,4.22444444444443,966,14.72,1127,15.4666666666667,17406,65.7,"High usage",1435.96185184923
"5105","5105","Тюменская область",2005-01-01,"5105",3286296.5931432,121.271384213016,35413.6499909406,6903.6689588943,110.745333328436,465441.584462834,0.00210069730705708,18223.075661478,3.80999999999999,17242.0900000039,18687.8600000044,4.6986206896552,1394,14.2666666666667,1739.33333333333,15.4666666666667,41341.6666666667,71.81,"High usage",1615.43797651704
"5106","5106","Тюменская область",2005-04-01,"5106",3287765.74341689,130.446980982755,3375.72673753252,7001.05557688732,111.557172782035,492278.70593371,0.00212940006714044,18839.9436465441,-2.3342857142857,18613.850000004,19322.4400000046,4.1062068965517,678,14.2666666666667,2517,16.1666666666667,42883.6666666667,68.76,"High usage",1750.65323577735
"5107","5107","Тюменская область",2005-07-01,"5107",3289071.57513683,141.577798384869,-14244.9616266962,7097.69330899646,112.155919726799,509256.213726932,0.00215798811800402,19592.4339925328,2.65714285714286,21450.5900000041,22000.6500000047,2.86241379310344,1765,14.12,1715.66666666667,18.0666666666667,30870.3333333333,50.51,"Low usage",1841.60762963015
"5108","5108","Тюменская область",2005-10-01,"5108",3290214.08830302,154.663836419359,-17448.4151017457,7193.58215522172,112.541574162729,516374.107842501,0.00218646145964707,20480.5466994443,6.91428571428571,22799.5700000041,23797.9300000046,2.74586206896552,429,13.95,1739.33333333333,20.6666666666667,47169.3333333333,47.74,"Low usage",1888.30115807544
"5109","5109","Тюменская область",2006-01-01,"5109",3291193.28291545,169.705095086224,-6234.63368761595,7288.72211556311,112.714136089824,513632.388280417,0.00221482009206992,21504.2817672784,3.22714285714285,23610.0500000043,25156.7100000048,3.15758620689654,744,13.3133333333333,1108.33333333333,19.5333333333333,17336,54.74,"Low usage",1890.73382111323
"5110","5110","Тюменская область",2006-04-01,"5110",3292639.64759424,175.02356051848,1488.57235308516,7442.8892534744,112.433506424733,510728.413849367,0.00226062302062092,22393.2630875006,5.85285714285716,25259.1600000044,27406.760000005,3.94999999999999,49026,14.4066666666667,733,18.1333333333333,389,63,"High usage",1879.25335788305
"5111","5111","Тюменская область",2006-07-01,"5111",3294553.18233938,170.619232716128,5721.20302035765,7656.0835689556,111.699685167454,507662.184549353,0.00232387024529922,23147.4906601109,2.72,30280.3700000045,34609.8600000051,5.11655172413793,1151,14.3166666666667,1055,16.9333333333333,30606,69.04,"High usage",1853.85976838491
"5112","5112","Тюменская область",2006-10-01,"5112",3296933.88715088,156.492111679166,6463.25831420153,7928.30506200669,110.512672317988,504433.700380374,0.00240456176610526,23766.9644851093,0.0328571428571252,37862.7500000048,41514.8900000053,2.71000000000001,882,14.2666666666667,830.666666666667,16.2666666666667,9040,65.7,"High usage",1814.5530526188
