brand,sales,price,boston,date,addv,bd1,bd2,bd3,bd4,bd5,bd6,bd7,bd8,bd9,bd10,bd11,bd12,bd13,bd14,bd15,bd16,bd17,bd18,bd19,bd20,bd21,bd22,bd23,bd24,bd25,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,y,qavgp,p_SF,p_BS,p_rSF,p_rNE,sfdum
1006,1372964,0.183726624,1,893,4.558775902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.388128996,0.178425044,0.215889841,0.183726624,0.210824519,0.179750443,0
1006,1113285,0.214471102,0,894,5.885361195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.095974445,0.176505938,0.214471102,0.169691354,0.206955224,0.169871062,1
1006,1204430,0.205860257,0,921,5.95010376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.170125008,0.182386875,0.205860257,0.165923268,0.205332547,0.165847361,1
1006,1459732,0.180544242,1,902,4.01474762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3.581501961,0.184600115,0.189698994,0.180544242,0.186703801,0.18358615,0
1006,1409676,0.174397111,1,891,5.373569965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.28415823,0.168155059,0.207120076,0.174397111,0.201198131,0.169715568,0
1006,1041112.063,0.208608955,0,901,4.5384202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-4.157214165,0.187605321,0.208608955,0.182862371,0.205797315,0.184620321,1
1006,1355262,0.169691354,1,894,5.773243904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.422484398,0.169930965,0.214471102,0.169691354,0.206955224,0.169871062,0
1006,1511264,0.16865845,1,882,7.272780418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.360154867,0.157754093,0.197165295,0.16865845,0.19414869,0.161388874,0
1006,1274763,0.202848226,0,912,5.366701126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.035316467,0.18216151,0.202848226,0.186401308,0.199540883,0.182321444,1
1006,1151926,0.189698994,0,902,4.089363098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3.989630938,0.179662675,0.189698994,0.180544242,0.186703801,0.18358615,1
1006,1501200,0.186401308,1,912,5.215273857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.680171728,0.18096149,0.202848226,0.186401308,0.199540883,0.182321444,0
