"","Возраст","Пол","Напиток"
"511",60.5,1,"Водка"
"512",56,1,"Водка"
"513",26,1,"Пиво"
"514",69,1,"Пиво"
"515",69,1,"Водка"
"516",26,1,"Пиво"
"517",63,1,"Пиво"
"518",63,1,"Водка"
"519",38.5,1,"Пиво"
"520",38.5,1,"Водка"
"521",28.5,1,"Пиво"
"522",64,1,"Пиво"
"523",64,1,"Коньяк или виски"
"524",38,2,"Пиво"
"525",71,1,"Водка"
"526",71,1,"Вино"
"527",70,2,"Вино"
"528",54.5,2,"Пиво"
"529",45,2,"Коньяк или виски"
"530",45,2,"Водка"
"531",27,1,"Пиво"
"532",52.5,1,"Водка"
"533",69,1,"Пиво"
"534",69,1,"Водка"
"535",45.5,1,"Водка"
"536",38,1,"Пиво"
"537",38,1,"Коньяк или виски"
"538",41,2,"Пиво"
"539",41,2,"Самогон"
"540",75.5,1,"Самогон"
"541",64.5,2,"Самогон"
"542",57.5,1,"Пиво"
"543",57.5,1,"Самогон"
"544",55.5,2,"Вино"
"545",69.5,2,"Коньяк или виски"
"546",69.5,2,"Вино"
"547",69.5,2,"Мартини или вермут"
"548",72.5,1,"Пиво"
"549",72.5,1,"Водка"
"550",56,2,"Мартини или вермут"
"551",55,1,"Пиво"
"552",55,1,"Мартини или вермут"
"553",25,1,"Пиво"
"554",50,1,"Пиво"
"555",58,1,"Пиво"
"556",58,1,"Водка"
"557",46,1,"Пиво"
"558",46,1,"Водка"
"559",46,1,"Самогон"
"560",34.5,1,"Пиво"
"561",34.5,1,"Водка"
"562",32.5,1,"Пиво"
"563",32.5,1,"Водка"
"564",49,2,"Пиво"
"565",49,2,"Водка"
"566",65,2,"Мартини или вермут"
"567",26,1,"Пиво"
"568",43.5,1,"Пиво"
"569",43.5,1,"Водка"
"570",69,2,"Пиво"
"571",49,2,"Мартини или вермут"
"572",29.5,1,"Пиво"
"573",52,2,"Пиво"
"574",53,1,"Пиво"
"575",53,1,"Водка"
"576",57.5,1,"Пиво"
"577",57.5,1,"Коньяк или виски"
"578",60.5,1,"Пиво"
"579",60.5,1,"Коньяк или виски"
"580",60.5,1,"Водка"
"581",60.5,1,"Самогон"
"582",57,1,"Пиво"
"583",23,2,"Пиво"
"584",51,1,"Пиво"
"585",51,1,"Самогон"
"586",66.5,1,"Водка"
"587",54.5,2,"Пиво"
"588",55,1,"Пиво"
"589",55,1,"Коньяк или виски"
"590",55,1,"Водка"
"591",22,1,"Самогон"
"592",73.5,1,"Самогон"
"593",73.5,1,"Мартини или вермут"
"594",77,2,"Пиво"
"595",77,2,"Вино"
"596",74.5,1,"Пиво"
"597",74.5,1,"Водка"
"598",42,2,"Пиво"
"599",42,2,"Коньяк или виски"
"600",68,1,"Коньяк или виски"
"601",51.5,1,"Вино"
"602",51.5,1,"Мартини или вермут"
"603",42,2,"Мартини или вермут"
"604",50,2,"Мартини или вермут"
"605",23.5,1,"Коктейли"
"606",23.5,1,"Коньяк или виски"
"607",63,2,"Коньяк или виски"
"608",36.5,2,"Коньяк или виски"
"609",63.5,1,"Коньяк или виски"
"610",63.5,1,"Водка"
"611",63.5,1,"Самогон"
"612",36.5,1,"Водка"
"613",59,1,"Пиво"
"614",59,1,"Коньяк или виски"
"615",60,1,"Пиво"
"616",60,1,"Коньяк или виски"
"617",60,1,"Мартини или вермут"
"618",56.5,2,"Мартини или вермут"
"619",33.5,1,"Пиво"
"620",33.5,1,"Коньяк или виски"
"621",33.5,1,"Мартини или вермут"
"622",65,1,"Пиво"
"623",65,1,"Водка"
"624",61.5,1,"Пиво"
"625",61.5,1,"Коньяк или виски"
"626",68.5,1,"Пиво"
