"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"340","Kodiak (MC 771)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",8.406475881,8.40647588055056,"<$20",32.57,16.79422079,19.39732501245,340,8199.4444936512
"341","WLN Bakken West Nesson Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",98.35387998,98.3538799837035,"<$20",336.239322240273,16.8072902883895,19.4124202830899,341,8317.4691496272
"342","WLN Three Forks West Nesson Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",63.85168529,63.8516852866985,"<$20",181.129585344303,16.8072902883895,19.4124202830899,342,8394.0911719752
"343","Big Bend (MC 698)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",6.404012696,6.40401269611562,"<$20",9.19,16.8259251,19.4339434905,343,8401.7759872104
"344","WLN Bakken Nesson Anticline Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",83.97522308,83.9752230820361,"<$20",240.006869548763,16.8676672746583,19.4821557022303,344,8502.5462549064
"345","WLN Three Forks Nesson Anticline Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",74.07163578,74.0716357777194,"<$20",217.561411610721,16.8676672746583,19.4821557022303,345,8591.4322178424
"346","DEL Delaware Basin Other Hz OGS NM","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",21.84266931,21.8426693058725,"<$20",60.6230563324344,17.1161871277684,19.7691961325725,346,8617.6434210144
"347","DEL Delaware Basin Other Hz OGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",63.17135964,63.1713596430145,"<$20",159.846121522394,17.1161871277684,19.7691961325725,347,8693.4490525824
"348","DEL Delaware Basin other OGS NM","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",72.16219097,72.1621909720463,"<$20",224.782135623899,17.1161871277684,19.7691961325725,348,8780.0436817464
"349","DEL Delaware Basin Other OGS TX","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",19.97220577,19.9722057661877,"<$20",67.0146196250035,17.1161871277684,19.7691961325725,349,8804.0103286704
